date,fingerprint,transport,users,num_instances,coverage
2022-07-01,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,12736.60,4.00,4.00
2022-07-02,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,12569.08,4.00,4.00
2022-07-03,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,12485.11,4.00,4.00
2022-07-04,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,12477.53,4.00,4.00
2022-07-05,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,12629.79,4.00,4.00
2022-07-06,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,12772.69,4.00,4.00
2022-07-07,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,12640.54,4.00,4.00
2022-07-08,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,12867.23,4.00,4.00
2022-07-09,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,12586.93,4.00,4.00
2022-07-10,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,12625.99,4.00,4.00
2022-07-11,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,12803.87,4.00,4.00
2022-07-12,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,12648.22,4.00,4.00
2022-07-13,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,12610.65,4.00,4.00
2022-07-14,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,12810.14,4.00,4.00
2022-07-15,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,13457.89,4.00,4.00
2022-07-16,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,13727.25,4.00,4.00
2022-07-17,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,14280.31,4.00,4.00
2022-07-18,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,14307.11,4.00,4.00
2022-07-19,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,14490.01,4.00,4.00
2022-07-20,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,14877.94,4.00,4.00
2022-07-21,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,14557.50,4.00,4.00
2022-07-22,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,15374.37,4.00,4.00
2022-07-23,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,15613.69,4.00,4.00
2022-07-24,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,15868.05,4.00,4.00
2022-07-25,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,15742.23,4.00,4.00
2022-07-26,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,16148.81,4.00,4.00
2022-07-27,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,15996.99,4.00,4.00
2022-07-28,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,16602.80,4.00,4.00
2022-07-29,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,16351.27,4.00,4.00
2022-07-30,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,15912.98,4.00,4.00
2022-07-31,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,16292.70,4.00,4.00
2022-08-01,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,16169.59,4.00,4.00
2022-08-02,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,16309.32,4.00,4.00
2022-08-03,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,16756.39,4.00,4.00
2022-08-04,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,17031.07,4.00,4.00
2022-08-05,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,17186.33,4.00,4.00
2022-08-06,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,17149.79,4.00,4.00
2022-08-07,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,17435.18,4.00,4.00
2022-08-08,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,17638.51,4.00,4.00
2022-08-09,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,17342.09,4.00,4.00
2022-08-10,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,17402.06,4.00,4.00
2022-08-11,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,17223.06,4.00,4.00
2022-08-12,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,17222.69,4.00,4.00
2022-08-13,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,17425.15,4.00,4.00
2022-08-14,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,17216.95,4.00,4.00
2022-08-15,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,17554.94,4.00,4.00
2022-08-16,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,17589.07,4.00,4.00
2022-08-17,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,17670.99,4.00,4.00
2022-08-18,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,17052.39,4.00,4.00
2022-08-19,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,17414.87,4.00,4.00
2022-08-20,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,17566.00,4.00,4.00
2022-08-21,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,17683.37,4.00,4.00
2022-08-22,5481936581E23D2D178105D44DB6915AB06BFB7F,snowflake,17729.24,4.00,4.00
